meritocracy	ginicnty	income_i	income_cnty	black_cnty	perc_bush04	pop_cnty	educ_i	age_i	gender_i	white	unemp_i	union_i	partyid_i	ideo_i	attend_i	fips	survid2006	survid2007	survid2009
0	0.39130428433418274	0.3107717037200928	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	0.3333333432674408	36	0	1	1	0	0.25	0.5	0	6065	0	1	0
0	0.39130428433418274	1	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	1	62	1	1	0	1	0.25	0.25	0.800000011920929	6065	0	1	0
1	0.39130428433418274	0.606155276298523	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	0.6666666865348816	37	0	1	1	0	0.25	0.25	0	6065	0	0	0
1	0.39130428433418274	0.7046164274215698	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	0.8333333134651184	70	1	0	0	0	0.5	0.5	0.4000000059604645	6065	1	0	0
1	0.39130428433418274	0.5594161748886108	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	0.6666666865348816	21	0	0	1	0	0.25	1	0.800000011920929	6065	0	1	0
0	0.39130428433418274	0.3107717037200928	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	0.3333333432674408	36	0	1	0	0	1	1	1	6065	0	0	0
0	0.351449191570282	0.8030776381492615	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.8333333134651184	52	1	1	0	1	0	0.5	0.20000000298023224	6067	0	1	0
0	0.351449191570282	1	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	1	69	0	1	0	0	0.25	0.25	0.6000000238418579	6067	0	0	1
0	0.351449191570282	0.476982980966568	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.3333333432674408	18	1	1	0	0	0.5	0.75	1	6067	0	0	1
0	0.351449191570282	0.2123105227947235	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.1666666716337204	47	1	0	1	0	0	0.75	0.20000000298023224	6067	0	0	1
0	0.351449191570282	0.6231564283370972	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.6666666865348816	22	1	0	0	0	0	0.75	0.4000000059604645	6067	0	0	1
1	0.351449191570282	0.40923288464546204	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.8333333134651184	79	1	1	1	0	0.25	0.5	0.20000000298023224	6067	0	1	0
0	0.351449191570282	1	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.6666666865348816	58	1	0	1	0	0.5	0.5	0.800000011920929	6067	0	0	0
0	0.351449191570282	0.40923288464546204	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.6666666865348816	46	0	0	0	0	0.25	0.5	0.6000000238418579	6067	0	0	1
0	0.351449191570282	0.7046164274215698	0.40362435579299927	0.11569844186306	0.49000000953674316	0.14053013920783997	0.8333333134651184	61	1	0	0	0	0.5	0.5	0.6000000238418579	6067	1	0	0
